Event,Time,Date,TimeStamp [ms],ADC1,ADC2,SiPM [mV],Temp [C],Presure [Pa],DeadTime [us],Coincident
1,15:48:15,6/11/21,356,966,274,53.18,21.78,102455.48,50546,0
2,15:48:15,6/11/21,410,98,8,6.54,21.78,102455.48,5913,0
3,15:48:15,6/11/21,445,568,9,13.62,21.78,102455.48,1845,0
4,15:48:15,6/11/21,496,70,8,5.98,21.78,102455.48,1847,0
5,15:48:15,6/11/21,765,961,157,40.36,21.78,102455.48,52388,0
6,15:48:16,6/11/21,1659,165,8,8.43,21.78,102456.15,52388,0
7,15:48:18,6/11/21,3059,640,10,14.71,21.78,102457.32,52388,0
8,15:48:18,6/11/21,3626,310,8,11.19,21.78,102457.48,52394,0
9,15:48:18,6/11/21,3838,460,8,12.55,21.77,102457.11,3788,0
10,15:48:19,6/11/21,4190,422,9,12.36,21.77,102457.11,1846,0
11,15:48:19,6/11/21,4488,553,7,13.17,21.77,102457.27,1849,0
12,15:48:20,6/11/21,5485,394,9,12.13,21.77,102457.44,52390,0
13,15:48:21,6/11/21,6775,112,7,6.92,21.77,102457.78,102935,0
14,15:48:22,6/11/21,7767,560,9,13.52,21.77,102458.11,52391,0
15,15:48:23,6/11/21,8207,956,171,42.27,21.77,102458.11,1850,0
16,15:48:23,6/11/21,8863,204,8,9.39,21.77,102458.28,54385,0
17,15:48:24,6/11/21,9056,930,138,37.28,21.77,102458.28,1846,1
18,15:48:24,6/11/21,9062,763,24,19.09,21.77,102458.28,1850,0
19,15:48:24,6/11/21,9565,358,8,11.74,21.77,102457.87,52389,0
20,15:48:24,6/11/21,9933,171,9,8.6,21.77,102458.03,2590,0
21,15:48:24,6/11/21,9960,708,13,16.01,21.77,102458.03,1847,0
22,15:48:25,6/11/21,10117,678,11,15.27,21.77,102458.2,1848,0
23,15:48:25,6/11/21,10411,944,143,38.14,21.77,102458.2,3931,0
24,15:48:25,6/11/21,10717,461,9,12.64,21.77,102458.38,52393,0
25,15:48:26,6/11/21,11126,562,10,13.68,21.77,102458.53,1854,0
26,15:48:26,6/11/21,11445,915,118,33.52,21.77,102458.53,1850,1
27,15:48:26,6/11/21,11661,538,9,13.27,21.77,102458.7,52391,0
28,15:48:28,6/11/21,13165,889,95,29.02,21.77,102458.88,52392,0
29,15:48:28,6/11/21,13754,122,8,7.21,21.77,102458.7,52394,0
30,15:48:29,6/11/21,14558,427,8,12.32,21.77,102458.03,54327,0
31,15:48:31,6/11/21,16007,157,8,8.21,21.77,102458.03,52389,0
32,15:48:31,6/11/21,16266,719,14,16.35,21.77,102458.03,1848,0
33,15:48:31,6/11/21,16349,941,141,37.8,21.77,102458.03,1850,0
34,15:48:31,6/11/21,16371,428,9,12.4,21.77,102458.03,1850,0
35,15:48:31,6/11/21,16783,93,8,6.42,21.77,102458.03,52390,0
36,15:48:32,6/11/21,17870,458,9,12.62,21.77,102458.38,52390,0
37,15:48:33,6/11/21,18141,815,54,22.93,21.77,102458.38,3798,0
38,15:48:33,6/11/21,18335,89,8,6.32,21.77,102458.38,1857,0
39,15:48:33,6/11/21,18786,167,9,8.49,21.77,102458.38,52393,0
40,15:48:34,6/11/21,19935,437,9,12.47,21.77,102458.53,52394,0
41,15:48:35,6/11/21,20202,252,9,10.35,21.77,102458.53,2595,0
42,15:48:36,6/11/21,21314,552,9,13.43,21.77,102458.7,52393,0
43,15:48:36,6/11/21,21367,416,9,12.31,21.77,102458.7,1849,0
44,15:48:36,6/11/21,21747,157,9,8.22,21.77,102458.7,52393,0
45,15:48:37,6/11/21,22801,372,9,11.93,21.77,102459.04,54473,0
46,15:48:38,6/11/21,23286,368,9,11.89,21.77,102458.88,1852,0
47,15:48:38,6/11/21,23867,103,9,6.67,21.77,102458.88,52403,0
48,15:48:40,6/11/21,25049,930,139,37.45,21.77,102459.04,52400,0
49,15:48:41,6/11/21,26841,145,8,7.87,21.77,102459.2,102939,0
50,15:48:42,6/11/21,27048,422,8,12.29,21.77,102459.2,1847,0
51,15:48:42,6/11/21,27318,519,8,12.98,21.77,102459.2,1848,0
52,15:48:42,6/11/21,27588,931,133,36.38,21.77,102459.2,54385,0
53,15:48:43,6/11/21,28441,542,9,13.32,21.77,102459.2,1848,0
54,15:48:43,6/11/21,28929,535,9,13.24,21.77,102459.55,52394,0
55,15:48:44,6/11/21,29317,911,113,32.54,21.77,102459.88,1852,1
56,15:48:46,6/11/21,31787,116,8,7.03,21.77,102460.38,153487,0
57,15:48:47,6/11/21,32694,891,95,29.02,21.77,102460.38,53143,0
58,15:48:48,6/11/21,33952,948,153,39.76,21.77,102460.55,52403,0
59,15:48:49,6/11/21,34030,113,8,6.95,21.77,102460.55,3933,0
60,15:48:49,6/11/21,34135,919,120,33.92,21.77,102460.55,1848,0
61,15:48:49,6/11/21,34627,408,8,12.18,21.77,102460.71,52393,0
62,15:48:50,6/11/21,35207,696,12,15.65,21.77,102460.55,1846,0
63,15:48:50,6/11/21,35305,589,9,13.88,21.77,102460.55,1848,0
64,15:48:50,6/11/21,35308,113,8,6.95,21.77,102460.55,1848,0
65,15:48:50,6/11/21,35921,972,368,69.09,21.77,102460.71,52392,0
66,15:48:51,6/11/21,36990,914,119,33.72,21.77,102460.71,54335,0
67,15:48:52,6/11/21,37807,771,27,19.68,21.77,102460.88,52397,0
68,15:48:53,6/11/21,38227,124,8,7.27,21.77,102460.71,1850,0
